"","glm","cbps-just","cbps-over","ind","exp","proj"
"lqte-z(0.10)",1220,1109,1471,1320,1120,1045
"lqte-z(0.10).se",814.874639049163,806.53894800031,827.300735149258,900.483745565746,785.520866996857,832.585215397909
"lqte-z(0.25)",5226,4853,6204,5940,5200,5003
"lqte-z(0.25).se",879.138029775872,838.989299710829,1121.6070099469,1290.92611556442,828.18917276518,856.780612231536
"lqte-z(0.5)",10187,9925,12701,12968,10730,10026
"lqte-z(0.5).se",1278.68277500357,1232.46197649336,1696.27295577113,2320.92417769472,1249.37021897968,1315.57540788025
"lqte-z(0.75)",14061,13200,19909,20252,16353,13041
"lqte-z(0.75).se",1053.90541576014,1037.41788978778,1342.14925058443,2092.30413721171,1087.16258759971,1159.26681422107
"lqte-z(0.90)",19200,18908,24402,24249,22400,17172
"lqte-z(0.90).se",779.452892730937,778.539641945173,898.228179866168,1739.17140079694,808.483682970183,998.075899125131
